"","date","tmax","tmin","tdew"
"5741",1998-09-19,35.35,25.73,25.73
"5742",1998-09-20,34.08,25.18,25.18
"5743",1998-09-21,34.48,24.12,24.12
"5744",1998-09-22,34.16,23.92,23.92
"5745",1998-09-23,33.16,24.53,24.53
"5746",1998-09-24,35.2,24.05,24.05
"5747",1998-09-25,37.02,24.02,24.02
"5748",1998-09-26,37.3,24.82,24.82
"5749",1998-09-27,37.22,26.08,26.08
"5750",1998-09-28,37.52,26.41,26.41
"5751",1998-09-29,38.86,26.89,26.89
"5752",1998-09-30,39.43,28.66,28.66
"5753",1998-10-01,37.25,25.9,25.9
"5754",1998-10-02,37.62,25.6,25.6
"5755",1998-10-03,36.04,26.05,26.05
"5756",1998-10-04,35.35,24.45,24.45
"5757",1998-10-05,36.14,25.03,25.03
"5758",1998-10-06,36.63,24.63,24.63
"5759",1998-10-07,37.62,25.04,25.04
"5760",1998-10-08,37.54,24.75,24.75
"5761",1998-10-09,37.55,24.75,24.75
"5762",1998-10-10,37.33,25.54,25.54
"5763",1998-10-11,36.76,23.68,23.68
"5764",1998-10-12,36.39,22.39,22.39
"5765",1998-10-13,37.02,22.62,22.62
"5766",1998-10-14,34.88,23.55,23.55
"5767",1998-10-15,31.35,21.22,21.22
"5768",1998-10-16,27.94,19.44,19.44
"5769",1998-10-17,26.68,16.88,16.88
"5770",1998-10-18,31.28,19.51,19.51
"5771",1998-10-19,33.18,21.56,21.56
"5772",1998-10-20,33.78,19.48,19.48
"5773",1998-10-21,33.79,19.45,19.45
"5774",1998-10-22,33.07,19.21,19.21
"5775",1998-10-23,33.46,19.55,19.55
"5776",1998-10-24,33.05,21.07,21.07
"5777",1998-10-25,33.16,18.96,18.96
