"file","line","linter","msg"
"modisSqa.R",12,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",20,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",25,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",32,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",37,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",50,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",55,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",64,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",69,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",78,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",83,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",90,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",95,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",102,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",107,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",114,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",119,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",126,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",131,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",138,"return_linter","Use implicit return behavior; explicit return() is not needed."
"modisSqa.R",144,"brace_linter","Opening curly braces should never go on their own line and should always be followed by a new line."
"modisSqa.R",151,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-crops.R",18,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-crops.R",26,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-crops.R",34,"vector_logic_linter","Use `||` in conditional expressions."
"optical-crops.R",36,"brace_linter","There should be a space before an opening curly brace."
"optical-crops.R",46,"brace_linter","There should be a space before an opening curly brace."
"optical-crops.R",57,"vector_logic_linter","Use `&&` in conditional expressions."
"optical-crops.R",178,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-crops.reduced.R",6,"vector_logic_linter","Use `&&` in conditional expressions."
"optical-crops.reduced.R",21,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-crops.reduced.R",28,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-crops.reduced.R",34,"vector_logic_linter","Use `&&` in conditional expressions."
"optical-crops.reduced.R",45,"brace_linter","There should be a space before an opening curly brace."
"optical-crops.reduced.R",56,"brace_linter","There should be a space before an opening curly brace."
"optical-crops.reduced.R",67,"vector_logic_linter","Use `&&` in conditional expressions."
"optical-crops.reduced.R",208,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",28,"vector_logic_linter","Use `||` in conditional expressions."
"optical-rice.R",43,"indentation_linter","Indentation should be 22 spaces but is 4 spaces."
"optical-rice.R",71,"vector_logic_linter","Use `&&` in conditional expressions."
"optical-rice.R",89,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",89,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",89,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",95,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",202,"brace_linter","There should be a space before an opening curly brace."
"optical-rice.R",212,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",212,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",212,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",252,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",263,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",271,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",278,"brace_linter","There should be a space before an opening curly brace."
"optical-rice.R",288,"brace_linter","There should be a space before an opening curly brace."
"optical-rice.R",300,"vector_logic_linter","Use `&&` in conditional expressions."
"optical-rice.R",405,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",676,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",715,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",741,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",753,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-rice.R",805,"brace_linter","There should be a space before an opening curly brace."
"optical-rice.R",815,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",815,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",815,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"optical-rice.R",823,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",13,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",18,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",27,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",35,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",50,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",60,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",64,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",71,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",81,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",87,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",98,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",109,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",118,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",124,"return_linter","Use implicit return behavior; explicit return() is not needed."
"optical-water.R",139,"return_linter","Use implicit return behavior; explicit return() is not needed."
